condition_id,tag_type_id
278,101
278,7
279,101
279,8
280,101
280,9
281,101
281,62
282,101
282,10
283,101
283,11
284,101
284,12
285,101
285,13
286,101
286,14
287,101
287,15
288,101
288,16
289,101
289,17
290,101
290,63
291,101
291,64
292,101
292,65
293,101
293,66
294,101
294,67
295,101
295,68
296,101
296,69
297,101
297,70
298,101
298,71
299,101
299,18
300,101
300,72
301,101
301,73
302,101
302,74
303,101
303,75
304,101
304,76
305,101
305,45
306,101
306,46
307,101
307,47
308,101
308,77
309,101
309,78
310,101
310,79
311,101
311,80
312,101
312,19
313,101
313,20
314,101
314,81
315,101
315,27
316,101
316,48
317,101
317,49
318,101
318,50
319,101
319,51
320,101
320,52
321,101
321,53
322,101
322,54
323,101
323,82
324,101
324,83
325,101
325,84
326,101
326,85
327,101
327,86
328,101
328,87
329,101
329,88
330,101
330,89
331,101
331,90
332,101
332,91
333,101
333,92
334,101
334,41
335,101
335,93
336,101
336,94
337,101
337,95
338,101
338,28
339,101
339,29
340,101
340,96
341,101
341,30
342,101
342,97
343,101
343,7
344,101
344,8
345,101
345,9
346,101
346,62
347,101
347,10
348,101
348,11
349,101
349,12
350,101
350,13
351,101
351,14
352,101
352,15
353,101
353,16
354,101
354,17
355,101
355,63
356,101
356,64
357,101
357,65
358,101
358,66
359,101
359,67
360,101
360,68
361,101
361,69
362,101
362,70
363,101
363,71
364,101
364,18
365,101
365,72
366,101
366,73
367,101
367,74
368,101
368,75
369,101
369,76
370,101
370,45
371,101
371,46
372,101
372,47
373,101
373,77
374,101
374,78
375,101
375,79
376,101
376,80
377,101
377,19
378,101
378,20
379,101
379,81
380,101
380,27
381,101
381,48
382,101
382,49
383,101
383,50
384,101
384,51
385,101
385,52
386,101
386,53
387,101
387,54
388,101
388,82
389,101
389,83
390,101
390,84
391,101
391,85
392,101
392,86
393,101
393,87
394,101
394,88
395,101
395,89
396,101
396,90
397,101
397,91
398,101
398,92
399,101
399,41
400,101
400,93
401,101
401,94
402,101
402,95
403,101
403,28
404,101
404,29
405,101
405,96
406,101
406,30
407,101
407,97
