condition_id,tag_type_id
131,62
131,7
132,62
132,8
133,62
133,9
134,62
134,66
135,62
135,10
136,62
136,11
137,62
137,12
138,62
138,13
139,62
139,14
140,62
140,15
141,62
141,16
142,62
142,17
143,62
143,67
144,62
144,68
145,62
145,69
146,62
146,70
147,62
147,71
148,62
148,72
149,62
149,73
150,62
150,74
151,62
151,75
152,62
152,18
153,62
153,76
154,62
154,77
155,62
155,78
156,62
156,79
157,62
157,80
158,62
158,45
159,62
159,46
160,62
160,47
161,62
161,81
162,62
162,82
163,62
163,83
164,62
164,84
165,62
165,19
166,62
166,20
167,62
167,85
168,62
168,27
169,62
169,48
170,62
170,49
171,62
171,50
172,62
172,51
173,62
173,52
174,62
174,53
175,62
175,54
176,62
176,90
177,62
177,91
178,62
178,92
179,62
179,93
180,62
180,94
181,62
181,96
182,62
182,97
183,62
183,98
184,62
184,99
185,62
185,100
186,62
186,101
187,62
187,41
188,62
188,102
189,62
189,103
190,62
190,104
191,62
191,28
192,62
192,29
193,62
193,105
194,62
194,30
195,62
195,106
196,62
196,7
197,62
197,8
198,62
198,9
199,62
199,66
200,62
200,10
201,62
201,11
202,62
202,12
203,62
203,13
204,62
204,14
205,62
205,15
206,62
206,16
207,62
207,17
208,62
208,67
209,62
209,68
210,62
210,69
211,62
211,70
212,62
212,71
213,62
213,72
214,62
214,73
215,62
215,74
216,62
216,75
217,62
217,18
218,62
218,76
219,62
219,77
220,62
220,78
221,62
221,79
222,62
222,80
223,62
223,45
224,62
224,46
225,62
225,47
226,62
226,81
227,62
227,82
228,62
228,83
229,62
229,84
230,62
230,19
231,62
231,20
232,62
232,85
233,62
233,27
234,62
234,48
235,62
235,49
236,62
236,50
237,62
237,51
238,62
238,52
239,62
239,53
240,62
240,54
241,62
241,90
242,62
242,91
243,62
243,92
244,62
244,93
245,62
245,94
246,62
246,96
247,62
247,97
248,62
248,98
249,62
249,99
250,62
250,100
251,62
251,101
252,62
252,41
253,62
253,102
254,62
254,103
255,62
255,104
256,62
256,28
257,62
257,29
258,62
258,105
259,62
259,30
260,62
260,106
